"BGAA","JEG","Aasiaat Airport","68.7218","-52.7847"
"BGBW","UAK","Narsarsuaq Airport","61.1605","-45.426"
"BGCH","JCH","Qasigiannguit Heliport","68.8228","-51.1734"
"BGCO","CNP","Nerlerit Inaat Airport","70.7431","-22.6505"
"BGGH","GOH","Nuuk Airport","64.1909","-51.6781"
"BGJN","JAV","Ilulissat Airport","69.2432","-51.0571"
"BGKK","KUS","Kulusuk Airport","65.5736","-37.1236"
"BGMQ","JSU","Maniitsoq Airport","65.4125","-52.9394"
"BGPT","JFR","Paamiut Airport","62.0147","-49.6709"
"BGQQ","NAQ","Qaanaaq Airport","77.4886","-69.3887"
"BGSF","SFJ","Kangerlussuaq Airport","67.0122","-50.7116"
"BGSS","JHS","Sisimiut Airport","66.9513","-53.7293"
"BGTL","THU","Pituffik Space Base","76.5312","-68.7032"
"BGUK","JUV","Upernavik Airport","72.7902","-56.1306"
"BGUM","UMD","Uummannaq Heliport","70.6804","-52.1116"
"BGUQ","JQA","Qaarsut Airport (Uummannaq/Qaarsut Airport)","70.7342","-52.6962"
"BIAR","AEY","Akureyri Airport","65.66","-18.0727"
"BIBD","BIU","Bildudalur Airport","65.6413","-23.5462"
"BIBF","BGJ","Borgarfjorour Eystri Airport","65.5164","-13.805"
"BIBK","BJD","Bakkafjorour Airport","66.0219","-14.8244"
"BIBL","BLO","Blonduos Airport","65.645","-20.2875"
"BIBV","BXV","Breiodalsvik Airport","64.79","-14.0228"
"BIDV","DJU","Djupivogur Airport","64.6442","-14.2828"
"BIEG","EGS","Egilsstaoir Airport","65.2833","-14.4014"
"BIFF","FAS","Faskruosfjorour Airport","64.9317","-14.0606"
"BIFM","FAG","Fagurholsmyri Airport","63.8747","-16.6411"
"BIGF","GUU","Grundarfjorour Airport","64.9914","-23.2247"
"BIGJ","GJR","Gjogur Airport","65.9953","-21.3269"
"BIGR","GRY","Grimsey Airport","66.5458","-18.0173"
"BIHK","HVK","Holmavik Airport","65.7047","-21.6964"
"BIHN","HFN","Hornafjorour Airport","64.2956","-15.2272"
"BIHU","HZK","Husavik Airport","65.9523","-17.426"
"BIIS","IFJ","Isafjorour Airport","66.0581","-23.1353"
"BIKF","KEF","KeflavÃ­k International Airport","63.985","-22.6056"
"BIKP","OPA","Kopasker Airport","66.3108","-16.4667"
"BIKR","SAK","Sauoarkrokur Airport","65.7317","-19.5728"
"BINF","NOR","Norofjorour Airport","65.1319","-13.7464"
"BIOF","OFJ","Olafsfjorour Airport","66.0833","-18.6667"
"BIPA","PFJ","Patreksfjorour Airport","65.5558","-23.965"
"BIRE","RHA","Reykholar Airport","65.4526","-22.2061"
"BIRF","OLI","Rif Airport","64.9114","-23.8231"
"BIRG","RFN","Raufarhofn Airport","66.4064","-15.9183"
"BIRK","RKV","ReykjavÃ­k Airport","64.13","-21.9406"
"BIRL","MVA","Myvatn Airport","65.6558","-16.9181"
"BISI","SIJ","Siglufjorour Airport","66.1333","-18.9167"
"BIST","SYK","Stykkisholmur Airport","65.0581","-22.7942"
"BITE","TEY","Thingeyri Airport","65.8703","-23.56"
"BITN","THO","Thorshofn Airport","66.2185","-15.3356"
"BIVM","VEY","Vestmannaeyjar Airport","63.4243","-20.2789"
"BIVO","VPN","Vopnafjorour Airport","65.7206","-14.8506"
"BKPR","PRN","Pristina Adem Jashari Airport","42.5745","21.0294"
