"CBBC","ZEL","Bella Bella (Campbell Island) Airport","52.185","-128.157"
"CYAB","YAB","Arctic Bay Airport","73.0058","-85.0425"
"CYAC","YAC","Cat Lake Airport","51.7272","-91.8244"
"CYAD","YAR","La Grande-3 Airport","53.5717","-76.1964"
"CYAG","YAG","Fort Frances Municipal Airport","48.6542","-93.4397"
"CYAH","YAH","La Grande-4 Airport","53.7547","-73.6753"
"CYAL","YAL","Alert Bay Airport","50.5822","-126.916"
"CYAM","YAM","Sault Ste. Marie Airport","46.485","-84.5094"
"CYAQ","XKS","Kasabonika Airport","53.5247","-88.6428"
"CYAS","YKG","Kangirsuk Airport","60.0272","-69.9992"
"CYAT","YAT","Attawapiskat Airport","52.9275","-82.4319"
"CYAY","YAY","St. Anthony Airport","51.3919","-56.0831"
"CYAZ","YAZ","Tofino/Long Beach Airport","49.0798","-125.776"
"CYBA","YBA","Banff Airport","51.2073","-115.542"
"CYBB","YBB","Kugaaruk Airport","68.5344","-89.8081"
"CYBC","YBC","Baie-Comeau Airport","49.1325","-68.2044"
"CYBD","QBC","Bella Coola Airport","52.3875","-126.596"
"CYBE","YBE","Uranium City Airport","59.5614","-108.481"
"CYBF","YBY","Bonnyville Airport","54.3042","-110.744"
"CYBG","YBG","Canadian Forces Base Bagotville","48.3306","-70.9964"
"CYBH","YBH","Bull Harbour Waterdrome","50.9179","-127.937"
"CYBK","YBK","Baker Lake Airport","64.2989","-96.0778"
"CYBL","YBL","Campbell River Airport","49.9508","-125.271"
"CYBQ","XTL","Tadoule Lake Airport","58.7061","-98.5122"
"CYBR","YBR","Brandon Municipal Airport (McGill Field)","49.91","-99.9519"
"CYBT","YBT","Brochet Airport","57.8894","-101.679"
"CYBV","YBV","Berens River Airport","52.3589","-97.0183"
"CYBX","YBX","Lourdes-de-Blanc-Sablon Airport","51.4436","-57.1853"
"CYCA","YRF","Cartwright Airport","53.6828","-57.0419"
"CYCB","YCB","Cambridge Bay Airport","69.1081","-105.138"
"CYCC","YCC","Cornwall Regional Airport","45.0928","-74.5633"
"CYCD","YCD","Nanaimo Airport","49.055","-123.87"
"CYCE","YCE","Centralia/James T. Field Memorial Aerodrome","43.2856","-81.5083"
"CYCG","YCG","West Kootenay Regional Airport (Castlegar Airport)","49.2964","-117.632"
"CYCH","YCH","Miramichi Airport","47.0078","-65.4492"
"CYCK","XCM","Chatham-Kent Airport","42.3064","-82.0819"
"CYCL","YCL","Charlo Airport","47.9908","-66.3303"
"CYCN","YCN","Cochrane Aerodrome","49.1056","-81.0136"
"CYCO","YCO","Kugluktuk Airport","67.8167","-115.144"
"CYCQ","YCQ","Chetwynd Airport","55.6872","-121.627"
"CYCR","YCR","Cross Lake (Charlie Sinclair Memorial) Airport","54.6106","-97.7608"
"CYCS","YCS","Chesterfield Inlet Airport","63.3469","-90.7311"
"CYCT","YCT","Coronation Airport","52.075","-111.445"
"CYCW","YCW","Chilliwack Airport","49.1528","-121.939"
"CYCY","YCY","Clyde River Airport","70.4861","-68.5167"
"CYCZ","YCZ","Fairmont Hot Springs Airport","50.3303","-115.873"
"CYDA","YDA","Dawson City Airport","64.0431","-139.128"
"CYDB","YDB","Burwash Airport","61.3711","-139.041"
"CYDF","YDF","Deer Lake Regional Airport","49.2108","-57.3914"
"CYDL","YDL","Dease Lake Airport","58.4222","-130.032"
"CYDM","XRR","Ross River Airport","61.9706","-132.423"
"CYDN","YDN","Lt. Col W.G. (Billy) Barker VC Airport","51.1008","-100.052"
"CYDO","YDO","Dolbeau-Saint-Felicien Airport","48.7785","-72.375"
"CYDP","YDP","Nain Airport","56.5492","-61.6803"
"CYDQ","YDQ","Dawson Creek Airport","55.7423","-120.183"
"CYEG","YEG","Edmonton International Airport","53.31","-113.579"
"CYEK","YEK","Arviat Airport","61.0942","-94.0708"
"CYEL","YEL","Elliot Lake Municipal Airport","46.3514","-82.5614"
"CYEM","YEM","Manitowaning/Manitoulin East Municipal Airport","45.8428","-81.8581"
"CYEN","YEN","Estevan Regional Aerodrome","49.2103","-102.966"
"CYER","YER","Fort Severn Airport","56.0189","-87.6761"
"CYET","YET","Edson Airport","53.5789","-116.465"
"CYEU","YEU","Eureka Aerodrome","79.9947","-85.8142"
"CYEV","YEV","Inuvik (Mike Zubko) Airport","68.3042","-133.483"
"CYEY","YEY","Amos/Magny Airport","48.5639","-78.2497"
"CYFA","YFA","Fort Albany Airport","52.2014","-81.6969"
"CYFB","YFB","Iqaluit Airport","63.7564","-68.5558"
"CYFC","YFC","Fredericton International Airport","45.8689","-66.5372"
"CYFE","YFE","Forestville Airport","48.7461","-69.0972"
"CYFH","YFH","Fort Hope Airport","51.5619","-87.9078"
"CYFJ","YTM","Mont Tremblant International Airport","46.4094","-74.78"
"CYFO","YFO","Flin Flon Airport","54.6781","-101.682"
"CYFR","YFR","Fort Resolution Airport","61.1808","-113.69"
"CYFS","YFS","Fort Simpson Airport","61.7602","-121.237"
"CYFT","YMN","Makkovik Airport","55.0769","-59.1864"
"CYGB","YGB","Texada/Gillies Bay Airport","49.6942","-124.518"
"CYGH","YGH","Fort Good Hope Airport","66.2408","-128.651"
"CYGK","YGK","Kingston/Norman Rogers Airport","44.2253","-76.5969"
"CYGL","YGL","La Grande Riviere Airport","53.6253","-77.7042"
"CYGM","YGM","Gimli Industrial Park Airport","50.6281","-97.0433"
"CYGO","YGO","Gods Lake Narrows Airport","54.5589","-94.4914"
"CYGP","YGP","Michel-Pouliot Gaspe Airport","48.7753","-64.4786"
"CYGQ","YGQ","Geraldton (Greenstone Regional) Airport","49.7783","-86.9394"
"CYGR","YGR","Iles-de-la-Madeleine Airport","47.4247","-61.7781"
"CYGT","YGT","Igloolik Airport","69.3647","-81.8161"
"CYGV","YGV","Havre Saint-Pierre Airport","50.2819","-63.6114"
"CYGW","YGW","Kuujjuarapik Airport","55.2819","-77.7653"
"CYGX","YGX","Gillam Airport","56.3575","-94.7106"
"CYGZ","YGZ","Grise Fiord Airport","76.4261","-82.9092"
"CYHA","YQC","Quaqtaq Airport","61.0464","-69.6178"
"CYHB","YHB","Hudson Bay Airport","52.8167","-102.311"
"CYHC","CXH","Vancouver Harbour Flight Centre (Coal Harbour Seaplane Base)","49.2944","-123.111"
"CYHD","YHD","Dryden Regional Airport","49.8317","-92.7442"
"CYHE","YHE","Hope Aerodrome","49.3683","-121.498"
"CYHF","YHF","Hearst Municipal Airport","49.7142","-83.6861"
"CYHH","YNS","Nemiscau Airport","51.6911","-76.1356"
"CYHI","YHI","Ulukhaktok/Holman Airport","70.7628","-117.806"
"CYHK","YHK","Gjoa Haven Airport","68.6356","-95.8497"
"CYHM","YHM","John C. Munro Hamilton International Airport","43.1736","-79.935"
"CYHN","YHN","Hornepayne Municipal Airport","49.1931","-84.7589"
"CYHO","YHO","Hopedale Airport","55.4483","-60.2286"
"CYHP","YHP","Poplar Hill Airport","52.1133","-94.2556"
