"EBAW","ANR","Antwerp International Airport","51.1894","4.46028"
"EBBR","BRU","Brussels Airport (Zaventem Airport)","50.9014","4.48444"
"EBCI","CRL","Brussels South Charleroi Airport","50.4592","4.45382"
"EBKT","KJK","Kortrijk-Wevelgem International Airport","50.8172","3.20472"
"EBLG","LGG","Liege Airport","50.6374","5.44322"
"EBOS","OST","Ostend-Bruges International Airport","51.1989","2.86222"
"EBZR","OBL","Oostmalle Airfield","51.2647","4.75333"
"EDAC","AOC","Leipzig-Altenburg Airport","50.9819","12.5064"
"EDAH","HDF","Heringsdorf Airport","53.8787","14.1523"
"EDAQ","ZHZ","Halle-Oppin Airport","51.5527","12.054"
"EDAU","IES","Riesa-Gohlis Airfield","51.2936","13.3561"
"EDAX","REB","Rechlin-Larz Airfield","53.3064","12.7522"
"EDAY","","Strausberg","52.5799","13.9156"
"EDBC","CSO","Magdeburg-Cochstedt Airport","51.8564","11.4203"
"EDBH","BBH","Stralsund-Barth Airport","54.3383","12.7105"
"EDBN","FNB","Neubrandenburg Airport","53.6022","13.306"
"EDCD","CBU","Cottbus-Drewitz Airport","51.8894","14.5319"
"EDCG","GTI","Rugen Airport (Guttin Airfield)","54.3833","13.3256"
"EDCK","KOQ","Kothen Airport","51.7211","11.9528"
"EDCP","PEF","Peenemunde Airfield","54.1578","13.7744"
"EDDB","BER","Berlin Brandenburg Airport","52.3514","13.4939"
"EDDC","DRS","Dresden Airport","51.1328","13.7672"
"EDDE","ERF","Erfurt-Weimar Airport","50.9798","10.9581"
"EDDF","FRA","Frankfurt Airport","50.0333","8.57056"
"EDDG","FMO","Munster Osnabruck International Airport","52.1346","7.68483"
"EDDH","HAM","Hamburg Airport","53.6304","9.98823"
"EDDK","CGN","Cologne Bonn Airport","50.8659","7.14274"
"EDDL","DUS","Dusseldorf Airport","51.2895","6.76678"
"EDDM","MUC","Munich Airport","48.3538","11.7861"
"EDDN","NUE","Nuremberg Airport","49.4987","11.0781"
"EDDP","LEJ","Leipzig/Halle Airport","51.4239","12.2364"
"EDDR","SCN","Saarbrucken Airport","49.2146","7.10951"
"EDDS","STR","Stuttgart Airport","48.6899","9.22196"
"EDDT","TXL","Berlin Tegel Airport","52.5597","13.2877"
"EDDV","HAJ","Hannover Airport","52.4611","9.68508"
"EDDW","BRE","Bremen Airport","53.0475","8.78667"
"EDFH","HHN","Frankfurt-Hahn Airport","49.9487","7.26389"
"EDFM","MHG","Mannheim City Airport","49.4731","8.51417"
"EDGE","EIB","Eisenach-Kindel Airport","50.9916","10.4797"
"EDGS","SGE","Siegerland Airport","50.7077","8.08297"
"EDHB","","Grube Airport","54.244434","11.02376"
"EDHE","","Uetersen Airfield","54.244434","11.02376"
"EDHI","XFW","Hamburg Finkenwerder Airport","53.5353","9.83556"
"EDHK","KEL","Kiel Airport","54.3794","10.1453"
"EDHL","LBC","Lubeck Airport","53.8054","10.7192"
"EDHN","EUM","Neumunster Airport","54.0794","9.94139"
"EDJA","FMM","Memmingen Airport","47.9888","10.2395"
"EDKA","AAH","Merzbruck Airport","50.8231","6.18639"
"EDLD","ZCV","Dinslaken/Schwarze Heide","51.616","6.861167"
"EDLE","ESS","Essen/Mulheim Airport","51.4023","6.93733"
"EDLI","BFE","Bielefeld Airport","51.9647","8.54444"
"EDLN","MGL","Dusseldorf Monchengladbach Airport","51.2303","6.50444"
"EDLP","PAD","Paderborn Lippstadt Airport","51.6141","8.61632"
"EDLV","NRN","Weeze Airport (Niederrhein Airport)","51.6024","6.14217"
"EDLW","DTM","Dortmund Airport","51.5183","7.61224"
"EDMA","AGB","Augsburg Airport","48.4253","10.9317"
"EDMO","OBF","Oberpfaffenhofen Airport","48.0814","11.2831"
"EDMS","RBM","Straubing Wallmuhle Airport","48.9008","12.5167"
"EDNY","FDH","Friedrichshafen Airport (Bodensee Airport)","47.6713","9.51149"
"EDOP","SZW","Schwerin-Parchim International Airport","53.427","11.7834"
"EDQD","BYU","Bindlacher Berg Airport","49.985","11.64"
"EDQE","URD","Burg Feuerstein Airport","49.7942","11.1336"
"EDQG","GHF","Giebelstadt Airport","49.6481","9.96639"
"EDQM","HOQ","Hof-Plauen Airport","50.2886","11.8564"
"EDRB","BBJ","Bitburg Airport ","49.9453","6.565"
"EDRZ","ZQW","Zweibrucken Airport","49.2094","7.40056"
"EDSB","FKB","Karlsruhe/Baden-Baden Airport","48.7794","8.0805"
"EDTL","LHA","Flughafen Lahr (Lahr Airport)","48.3693","7.82772"
"EDVE","BWE","Braunschweig-Wolfsburg Airport","52.3192","10.5561"
"EDVK","KSF","Kassel Airport","51.4173","9.38497"
"EDWB","BRV","Bremerhaven Airport","53.5069","8.57278"
"EDWD","XLW","Lemwerder Airport","53.1447","8.62444"
"EDWE","EME","Emden Airport","53.3911","7.2275"
"EDWG","AGE","Wangerooge Airport","53.7828","7.91389"
"EDWI","WVN","JadeWeserAirport","53.5022","8.05222"
"EDWJ","JUI","Juist Airport","53.6811","7.05583"
"EDWL","LGO","Langeoog Airport","53.7425","7.49778"
"EDWR","BMK","Borkum Airfield","53.5964","6.70917"
"EDWS","NOD","Norddeich Airport","53.6331","7.19028"
"EDWU","VAC","Varrelbusch Airport","52.9083","8.04056"
"EDWY","NRD","Norderney Airport","53.7069","7.23"
"EDWZ","BMR","Baltrum Airport","53.7247","7.37333"
"EDXB","HEI","Heide-Busum Airport","54.1533","8.90167"
"EDXF","FLF","Flensburg-Schaferhaus Airport","54.7733","9.37889"
"EDXH","HGL","Helgoland Airport (Dune Airport)","54.1853","7.91583"
"EDXJ","QHU","Husum Schwesing Airport","54.51","9.13833"
"EDXO","PSH","Sankt Peter-Ording Airport","54.3089","8.68694"
"EDXW","GWT","Sylt Airport (Westerland Airport)","54.9132","8.34047"
"EDXY","OHR","Wyk auf Fohr Airport","54.6844","8.52833"
"EEKA","KDL","Kardla Airport","58.9908","22.8307"
"EEKE","URE","Kuressaare Airport","58.2299","22.5095"
"EEPU","EPU","Parnu Airport","58.419","24.4728"
"EETN","TLL","Tallinn Airport (Lennart Meri Tallinn Airport)","59.4133","24.8328"
"EETU","TAY","Tartu Airport","58.3075","26.6904"
"EFET","ENF","Enontekio Airport","68.3626","23.4243"
"EFHA","KEV","Halli Airport","61.856","24.7867"
"EFHF","HEM","Helsinki-Malmi Airport","60.2546","25.0428"
"EFHK","HEL","Helsinki Airport (Helsinki-Vantaa Airport)","60.3172","24.9633"
"EFHV","HYV","Hyvink- Airfield","60.6544","24.8811"
"EFIT","KTQ","Kitee Airfield","62.1661","30.0736"
"EFIV","IVL","Ivalo Airport","68.6073","27.4053"
"EFJO","JOE","Joensuu Airport","62.6629","29.6075"
"EFJY","JYV","Jyvaskyla Airport","62.3995","25.6783"
"EFKA","KAU","Kauhava Airfield","63.1271","23.0514"
"EFKE","KEM","Kemi-Tornio Airport","65.7787","24.5821"
"EFKI","KAJ","Kajaani Airport","64.2855","27.6924"
"EFKJ","KHJ","Kauhajoki Airfield","62.4625","22.3931"
"EFKK","KOK","Kokkola-Pietarsaari Airport","63.7212","23.1431"
"EFKS","KAO","Kuusamo Airport","65.9876","29.2394"
"EFKT","KTT","Kittila Airport","67.701","24.8468"
"EFKU","KUO","Kuopio Airport","63.0071","27.7978"
"EFLP","LPP","Lappeenranta Airport","61.0446","28.1447"
"EFMA","MHQ","Mariehamn Airport","60.1222","19.8982"
"EFMI","MIK","Mikkeli Airport","61.6866","27.2018"
"EFOU","OUL","Oulu Airport","64.9301","25.3546"
"EFPO","POR","Pori Airport","61.4617","21.8"
"EFRO","RVN","Rovaniemi Airport","66.5648","25.8304"
"EFSA","SVL","Savonlinna Airport","61.9431","28.9451"
"EFSI","SJY","Seinajoki Airport","62.6921","22.8323"
"EFSO","SOT","Sodankyla Airfield","67.395","26.6191"
"EFTP","TMP","Tampere-Pirkkala Airport","61.4141","23.6044"
"EFTU","TKU","Turku Airport","60.5141","22.2628"
"EFUT","UTI","Utti Airport","60.8964","26.9384"
"EFVA","VAA","Vaasa Airport","63.0507","21.7622"
"EFVR","VRK","Varkaus Airport","62.1711","27.8686"
"EFYL","YLI","Ylivieska Airfield","64.0547","24.7253"
"EG74","LHB","Bruntingthorpe Aerodrome (Leicester Harboro'/Harbour Airport)","52.4908","-1.1312"
"EGAA","BFS","Belfast International Airport","54.6575","-6.21583"
"EGAB","ENK","Enniskillen/St Angelo Airport","54.3989","-7.65167"
"EGAC","BHD","George Best Belfast City Airport","54.6181","-5.8725"
"EGAE","LDY","City of Derry Airport","55.0428","-7.16111"
"EGBB","BHX","Birmingham Airport","52.4539","-1.74803"
"EGBE","CVT","Coventry Airport","52.3697","-1.47972"
"EGBJ","GLO","Gloucestershire Airport","51.8942","-2.16722"
"EGBK","ORM","Sywell Aerodrome","52.3053","-0.793056"
"EGBN","NQT","Nottingham Airport","52.92","-1.07917"
"EGBP","GBA","Cotswold Airport","51.6681","-2.05694"
"EGCC","MAN","Manchester Airport","53.3537","-2.27495"
"EGCN","DSA","Robin Hood Airport Doncaster Sheffield","53.4805","-1.01066"
"EGDJ","UPV","RAF Upavon","51.2862","-1.78202"
