"FAAB","ALJ","Alexander Bay Airport","-28.575","16.5333"
"FAAG","AGZ","Aggeneys Airport","-29.2818","18.8139"
"FAAL","ADY","Alldays Airport","-22.679","29.0555"
"FABE","BIY","Bhisho Airport","-32.8971","27.2791"
"FABL","BFN","Bloemfontein Airport","-29.0927","26.3024"
"FACD","CDO","Cradock Airport","-32.1567","25.6456"
"FACT","CPT","Cape Town International Airport","-33.9648","18.6017"
"FADK","DUK","Dukuduku Airport","-28.3684","32.2481"
"FADQ","PZL","Zulu Inyala Airport","-27.8494","32.3097"
"FAEL","ELS","East London Airport","-33.0356","27.8259"
"FAEM","EMG","Empangeni Airport","-28.72","31.89"
"FAER","ELL","Ellisras Airport","-23.7267","27.6883"
"FAFB","FCB","Ficksburg Airport","-28.8231","27.9089"
"FAGC","GCJ","Grand Central Airport","-25.9863","28.1401"
"FAGG","GRJ","George Airport","-34.0056","22.3789"
"FAGI","GIY","Giyani Airport","-23.2833","30.65"
"FAGM","QRA","Rand Airport","-26.2425","28.1512"
"FAHL","HLW","Hluhluwe Airport","-28.0166","32.2752"
"FAHR","HRS","Harrismith Airport","-28.2351","29.1062"
"FAHS","HDS","Air Force Base Hoedspruit","-24.3686","31.0487"
"FAHW","HZV","Hazyview Airport","-25.0501","31.1319"
"FAKD","KXE","Klerksdorp Airport (P.C. Pelser Airport)","-26.8711","26.718"
"FAKM","KIM","Kimberley Airport","-28.8028","24.7652"
"FAKN","MQP","Kruger Mpumalanga International Airport","-25.3832","31.1056"
"FAKP","KOF","Komatipoort Airport","-25.4403","31.93"
"FAKU","KMH","Johan Pienaar Airport","-27.4567","23.4114"
"FAKZ","KLZ","Kleinzee Airport","-29.6884","17.094"
"FALA","HLA","Lanseria International Airport","-25.9385","27.9261"
"FALC","LMR","Finsch Mine Airport","-28.3601","23.4391"
"FALD","LDZ","Londolozi Airport","-24.7478","31.4743"
"FALE","DUR","King Shaka International Airport","-29.6144","31.1197"
"FALO","LCD","Louis Trichardt Airport","-23.0619","29.8647"
"FALW","SDB","Air Force Base Langebaanweg","-32.9689","18.1603"
"FALY","LAY","Ladysmith Airport","-28.5817","29.7497"
"FAMD","AAM","Mala Mala Airport","-24.8181","31.5446"
"FAMG","MGH","Margate Airport","-30.8574","30.343"
"FAMM","MBD","Mahikeng Airport (Mmabatho Airport)","-25.7984","25.548"
"FAMN","LLE","Malelane Airport","-25.43","31.5767"
"FAMO","MZY","Mossel Bay Airport","-34.1583","22.0586"
"FAMS","MEZ","Messina Airport","-22.356","29.9862"
"FAMU","MZQ","Mkuze Airport","-27.6261","32.0443"
"FAMW","MZF","Wild Coast Sun Airport","-31.25","29.833"
"FANC","NCS","Newcastle Airport","-27.7706","29.9769"
"FANG","NGL","Ngala Airfield","-24.389","31.326"
"FANS","NLP","Nelspruit Airport","-25.5","30.9138"
"FAOB","OVG","Air Force Base Overberg","-34.5549","20.2507"
