LATI,TIA,Tirana International Airport,41.4147,19.7206
LBBG,BOJ,Burgas Airport,42.5696,27.5152
LBGO,GOZ,Gorna Oryahovitsa Airport,43.1514,25.7129
LBHS,HKV,Haskovo Malevo Airport,41.8718,25.6048
LBPD,PDV,Plovdiv Airport,42.0678,24.8508
LBRS,ROU,Ruse Airport,43.6948,26.0567
LBSF,SOF,Sofia Airport,42.6967,23.4114
LBSS,SLS,Silistra Airfield,44.0552,27.1788
LBSZ,SZR,Stara Zagora Airport,42.3767,25.655
LBTG,TGV,Targovishte Airport (Buhovtsi Airfield),43.3066,26.7009
LBWN,VAR,Varna Airport,43.2321,27.8251
LCEN,ECN,Ercan International Airport,35.1547,33.4961
LCGK,GEC,Gecitkale Air Base,35.2359,33.7244
LCLK,LCA,Larnaca International Airport,34.8751,33.6249
LCPH,PFO,Paphos International Airport,34.718,32.4857
LCRA,AKT,RAF Akrotiri,34.5904,32.9879
LDDU,DBV,Dubrovnik Airport,42.5614,18.2682
LDLO,LSZ,Losinj Airport,44.5658,14.3931
LDOS,OSI,Osijek Airport,45.4627,18.8102
LDPL,PUY,Pula Airport,44.8935,13.9222
LDRI,RJK,Rijeka Airport,45.2169,14.5703
LDSB,BWK,Bol Airport (Brac Airport),43.2857,16.6797
LDSP,SPU,Split Airport,43.5389,16.298
LDZA,ZAG,Zagreb Airport,45.7429,16.0688
LDZD,ZAD,Zadar Airport,44.1083,15.3467
LEAB,ABC,Albacete Airport,38.9485,-1.86352
LEAL,ALC,Alicante-Elche Airport,38.2822,-0.558156
LEAM,LEI,Almeria Airport,36.8439,-2.3701
LEAS,OVD,Asturias Airport (Oviedo Airport),43.5636,-6.03462
LEBA,ODB,Cordoba Airport,37.842,-4.84888
LEBB,BIO,Bilbao Airport,43.3011,-2.91061
LEBG,RGS,Burgos Airport,42.3576,-3.62076
LEBL,BCN,Barcelona El Prat Airport,41.2971,2.07846
LEBZ,BJZ,Badajoz Airport (Talavera la Real Air Base),38.8913,-6.82133
LECH,CDT,Castellon-Costa Azahar Airport,40.2139,0.073333
LECO,LCG,A Coruna Airport,43.3021,-8.37726
LEDA,ILD,Lleida-Alguaire Airport,41.7282,0.535023
LEGE,GRO,Girona-Costa Brava Airport,41.901,2.76055
LEGR,GRX,Federico Garcia Lorca Airport (Granada Jaen Airport),37.1887,-3.77736
LEHC,HSK,Huesca-Pirineos Airport,42.0761,-0.316667
LEIB,IBZ,Ibiza Airport,38.8729,1.37312
LEJR,XRY,Jerez Airport (La Parra Airport),36.7446,-6.06011
LELC,MJV,Murcia-San Javier Airport,37.775,-0.812389
LELN,LEN,Leon Airport,42.589,-5.65556
LELO,RJL,Logrono-Agoncilo,42.461,-2.32224
LEMD,MAD,Adolfo Suarez Madrid-Barajas Airport,40.4719,-3.56264
LEMG,AGP,Malaga Airport,36.6749,-4.49911
LEMH,MAH,Menorca Airport (Mahon Airport),39.8626,4.21865
