OABN,BIN,Bamyan Airport,34.817,67.817
OABT,BST,Bost Airport,31.5597,64.365
OACC,CCN,Chaghcharan Airport,34.5265,65.271
OADS,SBF,Sardeh Band Airport,33.3207,68.6365
OADY,DWR,Dwyer Airport,31,64
OADZ,DAZ,Darwaz Airport,38.4611,70.8825
OAFR,FAH,Farah Airport,32.367,62.183
OAFZ,FBD,Fayzabad Airport,37.1211,70.5181
OAGN,GZI,Ghazni Airport,33.5312,68.4129
OAGZ,GRG,Gardez Airport,33.6315,69.2394
OAHN,KWH,Khwahan Airport,37.883,70.217
OAHR,HEA,Herat International Airport,34.21,62.2283
OAIX,OAI,Bagram Airfield,34.9461,69.265
OAJL,JAA,Jalalabad Airport,34.3998,70.4986
OAKB,KBL,Kabul International Airport,34.5658,69.2131
OAKN,KDH,Kandahar International Airport,31.5058,65.8478
OAKS,KHT,Khost Airfield,33.3334,69.952
OAMN,MMZ,Maymana Airport,35.9308,64.7609
OAMS,MZR,Mazar-e Sharif International Airport,36.7069,67.2097
OAOG,URN,Urgun Airport,32.9318,69.1563
OAQN,LQN,Qala i Naw Airport,34.985,63.1178
OARG,URZ,Uruzgan Airport,32.903,66.6309
OARZ,KUR,Razer Airport,37.752,-89.0154
OASA,OAS,Sharana Airstrip / Forward Operating Base Sharana,33.1258,68.8385
OASD,OAH,Shindand Air Base,33.3913,62.261
OASH,OAA,Forward Operating Base Shank,33.9225,69.0772
OASL,OLR,Forward Operating Base Salerno,33.3638,69.9561
OASN,SGA,Sheghnan Airport,37.567,71.5
OATN,TII,Tarinkot Airport,32.6042,65.8658
OATQ,TQN,Taloqan Airport,36.7707,69.532
OAUZ,UND,Kunduz Airport,36.6651,68.9108
OAZI,OAZ,Camp Bastion Air Base,31.8638,64.2246
OAZJ,ZAJ,Zaranj Airport,30.9722,61.8658
OBBI,BAH,Bahrain International Airport,26.2708,50.6336
ODAL,DHL,Dhala Airport,13.6858,44.1389
ODAS,EAB,Abbs Airport,16.0108,43.1767
OEAB,AHB,Abha Regional Airport,18.2404,42.6566
OEAH,HOF,Al-Ahsa International Airport,25.2853,49.4852
OEAO,ULH,Prince Abdul Majeed bin Abdulaziz Domestic Airport,26.48,38.1289
OEBA,ABT,Al-Baha Domestic Airport,20.2961,41.6343
OEBH,BHH,Bisha Domestic Airport,19.9844,42.6209
OEDF,DMM,King Fahd International Airport,26.4712,49.7979
OEDR,DHA,King Abdulaziz Air Base,26.2654,50.152
OEDW,DWD,Dawadmi Domestic Airport (King Salman bin Abdul Aziz Domestic Airport),24.4499,44.1212
OEGN,GIZ,Jizan Regional Airport (King Abdullah bin Abdulaziz Airport),16.9011,42.5858
OEGS,ELQ,Prince Nayef bin Abdulaziz Regional Airport,26.3028,43.7744
OEGT,URY,Gurayat Domestic Airport,31.4124,37.2789
OEHL,HAS,Ha'il Regional Airport,27.4379,41.6863
OEJN,JED,King Abdulaziz International Airport,21.6796,39.1565
OEKK,KMC,King Khaled Military City Airport,27.9009,45.5282
OEKM,KMX,King Khalid Air Base,18.2973,42.8035
OEMA,MED,Prince Mohammad bin Abdulaziz Airport,24.5534,39.7051
OENG,EAM,Najran Domestic Airport,17.6114,44.4192
OENN,NUM,Neom Bay Airport,27.9276,35.2887
OEPA,AQI,Al Qaisumah/Hafr Al Batin Airport,28.3352,46.1251
OEPS,AKH,Prince Sultan Air Base,24.0627,47.5805
OERF,RAH,Rafha Domestic Airport,29.6264,43.4906
OERK,RUH,King Khalid International Airport,24.9576,46.6988
OERR,RAE,Arar Domestic Airport,30.9066,41.1382
OESH,SHW,Sharurah Domestic Airport,17.4669,47.1214
OESK,AJF,Al-Jawf Domestic Airport,29.7851,40.1
OESL,SLF,Sulayel Airport,20.4647,45.6196
OETB,TUU,Tabuk Regional Airport,28.3654,36.6189
OETF,TIF,Ta'if Regional Airport,21.483,40.5434
OETR,TUI,Turaif Domestic Airport,31.6922,38.7315
OEWD,WAE,Wadi al-Dawasir Domestic Airport,20.5043,45.1996
OEWJ,EJH,Al Wajh Domestic Airport,26.1986,36.4764
OEYN,YNB,Yanbu Airport (Yenbo Airport),24.1442,38.0634
OEZL,ZUL,Zilfi Airport,26.35,44.833
OIAA,ABD,Abadan International Airport,30.3711,48.2283
OIAD,DEF,Dezful Airport,32.4344,48.3976
OIAG,AKW,Aghajari Airport,30.7444,49.6772
OIAH,GCH,Gachsaran Airport,30.3376,50.828
OIAJ,OMI,Omidiyeh Air Base,30.8352,49.5349
OIAM,MRX,Mahshahr Airport,30.5562,49.1519
OIAW,AWZ,Ahvaz International Airport,31.3374,48.762
OIBA,AEU,Abu Musa Airport,25.8757,55.033
OIBB,BUZ,Bushehr Airport,28.9448,50.8346
OIBH,IAQ,Bahregan Airport,29.84,50.2728
OIBJ,KNR,Jam Airport,27.8205,52.3522
OIBK,KIH,Kish International Airport,26.5262,53.9802
OIBL,BDH,Bandar Lengeh Airport,26.532,54.8248
OIBP,PGU,Persian Gulf Airport,27.3796,52.7377
OIBQ,KHK,Kharg Airport,29.2603,50.3239
OIBS,SXI,Sirri Island Airport,25.9089,54.5394
OIBV,LVP,Lavan Airport,26.8103,53.3563
OICC,KSH,Shahid Ashrafi Esfahani Airport (Kermanshah Airport),34.3459,47.1581
OICI,IIL,Ilam Airport,33.5866,46.4048
OICK,KHD,Khorramabad Airport,33.4354,48.2829
OICS,SDG,Sanandaj Airport,35.2459,47.0092
OIFE,IFH,Hesa Air Base,32.9289,51.5611
OIFK,KKS,Kashan Airport,33.8953,51.577
OIFM,IFN,Isfahan International Airport (Shahid Beheshti Int'l),32.7508,51.8613
OIFS,CQD,Shahrekord Airport,32.2972,50.8422
OIGG,RAS,Rasht Airport,37.3233,49.6178
OIHH,HDM,Hamadan Airport,34.8692,48.5525
OIHR,AJK,Arak Airport,34.1381,49.8473
OIHS,NUJ,Hamedan Air Base (Nogeh Airport),35.2117,48.6533
OIIE,IKA,Imam Khomeini International Airport,35.4161,51.1522
OIII,THR,Mehrabad International Airport,35.6892,51.3134
OIIK,GZW,Qazvin Airport,36.2401,50.0471
OIIP,PYK,Payam International Airport,35.7761,50.8267
OIIS,SNX,Semnan Municipal Airport,35.5911,53.4951
OIKB,BND,Bandar Abbas International Airport,27.2183,56.3778
OIKJ,JYR,Jiroft Airport,28.7269,57.6703
OIKK,KER,Kerman Airport,30.2744,56.9511
OIKM,BXR,Bam Airport,29.0842,58.45
OIKP,HDR,Havadarya Airport,27.1583,56.1725
OIKQ,GSM,Dayrestan Airport (Qeshm International Airport),26.7546,55.9024
OIKR,RJN,Rafsanjan Airport,30.2977,56.0511
OIKY,SYJ,Sirjan Airport,29.5509,55.6727
OIMB,XBJ,Birjand International Airport,32.8981,59.2661
OIMC,CKT,Sarakhs Airport,36.5012,61.0649
OIMJ,RUD,Shahroud Airport,36.4253,55.1042
OIMM,MHD,Mashhad International Airport (Shahid Hashemi Nejad Airport),36.2352,59.641
OIMN,BJB,Bojnord Airport,37.493,57.3082
OIMS,AFZ,Sabzevar Airport,36.1681,57.5952
OIMT,TCX,Tabas Airport,33.6678,56.8927
OINE,KLM,Kalaleh Airport,37.3833,55.452
OING,GBT,Gorgan Airport,36.9094,54.4013
OINJ,BSM,Bishe Kola Air Base,36.6551,52.3496
OINN,NSH,Noshahr Airport,36.6633,51.4647
OINR,RZR,Ramsar International Airport,36.9099,50.6796
OINZ,SRY,Dasht-e Naz Airport,36.6358,53.1936
OISF,FAZ,Fasa Airport,28.8918,53.7233
OISJ,JAR,Jahrom Airport,28.5867,53.5791
OISL,LRR,Larestan International Airport,27.6747,54.3833
OISR,LFM,Lamerd Airport,27.3727,53.1888
OISS,SYZ,Shiraz International Airport (Shahid Dastghaib Int'l),29.5392,52.5898
OISY,YES,Yasuj Airport,30.7005,51.5451
OITH,KHA,Khaneh Airport (Piranshahr Airport),36.7333,45.15
OITK,KHY,Khoy Airport,38.4275,44.9736
OITL,ADU,Ardabil Airport,38.3257,48.4244
OITM,ACP,Sahand Airport,37.348,46.1279
OITP,PFQ,Parsabad-Moghan Airport,39.6036,47.8815
OITR,OMH,Urmia Airport,37.6681,45.0687
OITT,TBZ,Tabriz International Airport,38.1339,46.235
OITU,IMQ,Maku International Airport,39.33,44.43
OITZ,JWN,Zanjan Airport,36.7737,48.3594
OIYY,AZD,Shahid Sadooghi Airport,31.9049,54.2765
OIZB,ACZ,Zabol Airport,31.0983,61.5439
OIZC,ZBR,Konarak Airport,25.4433,60.3821
OIZH,ZAH,Zahedan Airport,29.4757,60.9062
OIZI,IHR,Iranshahr Airport,27.2361,60.72
OIZJ,JSK,Jask Airport,25.6523,57.7878
OJAI,AMM,Queen Alia International Airport,31.7226,35.9932
OJAM,ADJ,Amman Civil Airport (Marka International Airport),31.9727,35.9916
OJAQ,AQJ,King Hussein International Airport,29.6116,35.0181
OJJR,JRS,Atarot Airport (Jerusalem International Airport),31.8647,35.2192
OJMF,OMF,King Hussein Air Base,32.3564,36.2592
OJMN,MPQ,Ma'an Airport,30.1667,35.7833
OKAJ,XIJ,Ahmad al-Jaber Air Base,28.9348,47.7919
OKBK,KWI,Kuwait International Airport,29.2266,47.9689
OLBA,BEY,Beirut-Rafic Hariri International Airport / Beirut Air Base,33.8209,35.4884
OLKA,KYE,Rene Mouawad Air Base (Kleyate Airport),34.5893,36.0113
OMAA,AUH,Abu Dhabi International Airport,24.433,54.6511
OMAD,AZI,Al Bateen Executive Airport,24.4283,54.4581
OMAL,AAN,Al Ain International Airport,24.2617,55.6092
