PAAK,AKB,Atka Airport,52.2203,-174.206
PAAL,PML,Port Moller Airport,56.006,-160.561
PAAP,PTD,Port Alexander Seaplane Base,56.2468,-134.648
PAAQ,PAQ,Palmer Municipal Airport,61.5949,-149.089
PAAT,ATU,Casco Cove Coast Guard Station,52.8284,173.18
PABA,BTI,Barter Island LRRS Airport,70.134,-143.582
PABE,BET,Bethel Airport,60.7798,-161.838
PABG,BVU,Beluga Airport,61.1722,-151.044
PABI,BIG,Allen Army Airfield,63.9945,-145.722
PABK,MTX,Metro Field,64.8068,-147.762
PABL,BKC,Buckland Airport,65.9816,-161.149
PABM,BMX,Big Mountain Air Force Station,59.3612,-155.259
PABR,BRW,Wiley Post-Will Rogers Memorial Airport,71.2854,-156.766
PABT,BTT,Bettles Airport,66.9139,-151.529
PACD,CDB,Cold Bay Airport,55.2061,-162.725
PACE,CEM,Central Airport,65.5738,-144.783
PACI,CIK,Chalkyitsik Airport,66.645,-143.74
PACK,CYF,Chefornak Airport,60.1492,-164.286
PACM,SCM,Scammon Bay Airport,61.8453,-165.571
PACR,IRC,Circle City Airport,65.8305,-144.076
PACS,WSF,Cape Sarichef Airport,61.1821,-149.863
PACV,CDV,Merle K. (Mudhole) Smith Airport,60.4918,-145.478
PACX,CXF,Coldfoot Airport,67.2522,-150.204
PACY,CYT,Yakataga Airport,60.081,-142.495
PACZ,CZF,Cape Romanzof LRRS Airport,61.7803,-166.039
PADE,DRG,Deering Airport,66.0696,-162.766
PADG,RDB,Red Dog Airport,68.0321,-162.899
PADK,ADK,Adak Airport,51.878,-176.646
PADL,DLG,Dillingham Airport,59.0447,-158.505
PADM,MLL,Marshall Don Hunter Sr. Airport,61.8643,-162.026
PADQ,ADQ,Kodiak Airport,57.75,-152.494
PADU,DUT,Unalaska Airport,53.9001,-166.544
PADY,KKH,Kongiganak Airport,59.9608,-162.881
PAED,EDF,Elmendorf Air Force Base,61.251,-149.807
PAEE,EEK,Eek Airport,60.2137,-162.044
PAEG,EAA,Eagle Airport,64.7764,-141.151
PAEH,EHM,Cape Newenham LRRS Airport,58.6464,-162.063
PAEI,EIL,Eielson Air Force Base,64.6657,-147.102
PAEL,ELV,Elfin Cove Seaplane Base,58.1952,-136.347
PAEM,EMK,Emmonak Airport,62.7861,-164.491
PAEN,ENA,Kenai Municipal Airport,60.5731,-151.245
PAEW,WWT,Newtok Airport,60.9391,-164.641
PAFA,FAI,Fairbanks International Airport,64.8151,-147.856
PAFB,FBK,Ladd Army Airfield,64.8375,-147.614
PAFE,KAE,Kake Airport,56.973,-133.946
PAFM,ABL,Ambler Airport,67.1063,-157.857
PAFR,FRN,Bryant Army Airport,61.2664,-149.653
PAFS,NIB,Nikolai Airport,63.0186,-154.358
PAFW,FWL,Farewell Airport,62.5093,-153.892
PAGA,GAL,Edward G. Pitka Sr. Airport,64.7362,-156.937
PAGB,GBH,Galbraith Lake Airport,68.4797,-149.49
PAGG,KWK,Kwigillingok Airport,59.8765,-163.169
PAGH,SHG,Shungnak Airport,66.8881,-157.162
PAGK,GKN,Gulkana Airport,62.1549,-145.457
PAGL,GLV,Golovin Airport,64.5505,-163.007
PAGM,GAM,Gambell Airport,63.7668,-171.733
PAGN,AGN,Angoon Seaplane Base,57.5036,-134.585
PAGQ,BGQ,Big Lake Airport,61.5361,-149.814
PAGS,GST,Gustavus Airport,58.4253,-135.707
PAGT,NME,Nightmute Airport,60.471,-164.701
PAGY,SGY,Skagway Airport,59.4601,-135.316
PAGZ,GMT,Granite Mountain Air Station,65.4021,-161.281
PAHC,HCR,Holy Cross Airport,62.1883,-159.775
PAHL,HSL,Huslia Airport,65.6979,-156.351
PAHN,HNS,Haines Airport,59.2438,-135.524
PAHO,HOM,Homer Airport,59.6456,-151.477
PAHP,HPB,Hooper Bay Airport,61.5239,-166.147
PAHU,HUS,Hughes Airport,66.0411,-154.263
PAHX,SHX,Shageluk Airport,62.6923,-159.569
PAHY,HYG,Hydaburg Seaplane Base,55.2063,-132.828
PAIG,IGG,Igiugig Airport,59.324,-155.902
PAII,EGX,Egegik Airport,58.1855,-157.375
PAIK,IAN,Bob Baker Memorial Airport,66.976,-160.437
PAIL,ILI,Iliamna Airport,59.7544,-154.911
PAIM,UTO,Indian Mountain LRRS Airport,65.9928,-153.704
PAIN,MCL,McKinley National Park Airport,63.7326,-148.911
PAIW,WAA,Wales Airport,65.6226,-168.095
PAJN,JNU,Juneau International Airport,58.355,-134.576
PAJZ,KGK,Koliganek Airport,59.7266,-157.259
PAKD,KDK,Kodiak Municipal Airport,57.8059,-152.374
PAKF,KFP,False Pass Airport,54.8474,-163.41
PAKH,AKK,Akhiok Airport,56.9387,-154.183
PAKI,KPN,Kipnuk Airport,59.933,-164.031
PAKK,KKA,Koyuk Alfred Adams Airport,64.9395,-161.154
PAKL,LKK,Kulik Lake Airport,58.9821,-155.121
PAKN,AKN,King Salmon Airport,58.6768,-156.649
PAKO,IKO,Nikolski Air Station,52.9416,-168.849
PAKP,AKP,Anaktuvuk Pass Airport,68.1336,-151.743
PAKT,KTN,Ketchikan International Airport,55.3556,-131.714
PAKU,UUK,Ugnu-Kuparuk Airport,70.3308,-149.598
PAKV,KAL,Kaltag Airport,64.3191,-158.741
PAKW,KLW,Klawock Airport,55.5792,-133.076
PAKY,KYK,Karluk Airport,57.5671,-154.45
PALB,KLN,Larsen Bay Airport,57.5351,-153.978
PALG,KLG,Kalskag Airport,61.5363,-160.341
PALJ,PTA,Port Alsworth Airport,60.2017,-154.326
PALN,LNI,Point Lonely Short Range Radar Site,70.9107,-153.242
PALR,WCR,Chandalar Lake Airport,67.5045,-148.483
