SAAC,COC,Comodoro Pierrestegui Airport,-31.2969,-57.9966
SAAG,GHU,Gualeguaychu Airport,-33.0103,-58.6131
SAAJ,JNI,Junin Airport,-34.5459,-60.9306
SAAP,PRA,General Justo Jose de Urquiza Airport,-31.7948,-60.4804
SAAR,ROS,Rosario - Islas Malvinas International Airport,-32.9036,-60.785
SAAV,SFN,Sauce Viejo Airport,-31.7117,-60.8117
SABE,AEP,Aeroparque Internacional Jorge Newbery,-34.5589,-58.4164
SACC,LCM,La Cumbre Airport,-31.0058,-64.5319
SACO,COR,Ingeniero Aeronautico Ambrosio L.V. Taravella International Airport (Pajas Blancas),-31.3236,-64.208
SADL,LPG,La Plata Airport,-34.9722,-57.8947
SADP,EPA,El Palomar Airport,-34.6099,-58.6126
SAEZ,EZE,Ministro Pistarini International Airport,-34.8222,-58.5358
SAFR,RAF,Rafaela Airport,-31.2825,-61.5017
SAFS,NCJ,Sunchales Airport,-30.9575,-61.5283
SAHC,HOS,Chos Malal Airport,-37.4447,-70.2225
SAHR,GNR,Dr. Arturo Umberto Illia Airport,-39.0007,-67.6205
SAHS,RDS,Rincon de los Sauces Airport,-37.3906,-68.9042
SAHZ,APZ,Zapala Airport,-38.9755,-70.1136
SAME,MDZ,Gov. Francisco Gabrielli International Airport (El Plumerillo),-32.8317,-68.7929
SAMM,LGS,Comodoro D. Ricardo Salomon Airport,-35.4936,-69.5743
SAMR,AFA,San Rafael Airport (Argentina),-34.5883,-68.4039
SANC,CTC,Coronel Felipe Varela International Airport,-28.5956,-65.7517
SANE,SDE,Vicecomodoro Angel de la Paz Aragones Airport,-27.7656,-64.31
SANL,IRJ,Capitan Vicente Almandos Almonacid Airport,-29.3816,-66.7958
SANR,RHD,Termas de Rio Hondo Airport,-27.4966,-64.936
SANT,TUC,Teniente General Benjamin Matienzo International Airport,-26.8409,-65.1049
SANU,UAQ,Domingo Faustino Sarmiento Airport,-31.5715,-68.4182
SANW,CRR,Ceres Airport,-29.8723,-61.9279
SAOC,RCU,Las Higueras Airport,-33.0851,-64.2613
SAOD,VDR,Villa Dolores Airport,-31.9452,-65.1463
SAOR,VME,Villa Reynolds Airport,-33.7299,-65.3874
SAOS,RLO,Valle del Conlara Airport,-32.3847,-65.1865
SAOU,LUQ,Brigadier Mayor Cesar Raul Ojeda Airport,-33.2732,-66.3564
SARC,CNQ,Doctor Fernando Piragine Niveyro International Airport,-27.4455,-58.7619
SARE,RES,Resistencia International Airport,-27.45,-59.0561
SARF,FMA,Formosa International Airport (El Pucu Airport),-26.2127,-58.2281
SARI,IGR,Cataratas del Iguazu International Airport,-25.7373,-54.4734
SARL,AOL,Paso de los Libres Airport,-29.6894,-57.1521
SARM,MCS,Monte Caseros Airport,-30.2719,-57.6402
SARP,PSS,Libertador General Jose de San Martin Airport,-27.3858,-55.9707
SARS,PRQ,Presidencia Roque Saenz Pena Airport,-26.7536,-60.4922
SASA,SLA,Martin Miguel de Guemes International Airport,-24.856,-65.4862
