UAAA,ALA,Almaty International Airport,43.3521,77.0405
UAAH,BXH,Balkhash Airport,46.8933,75.005
UAAL,USJ,Usharal Airport,46.1903,80.8314
UAAR,BXJ,Boraldai Airport,43.3526,76.8837
UACC,NQZ,Nursultan Nazarbayev International Airport,51.0222,71.4669
UACK,KOV,Kokshetau Airport,53.3291,69.5946
UACP,PPK,Petropavl Airport,54.7747,69.1839
UADD,DMB,Taraz Airport (Jambyl Airport),42.8536,71.3036
UAFM,FRU,Manas International Airport,43.0613,74.4776
UAFO,OSS,Osh Airport,40.609,72.7933
UAII,CIT,Shymkent International Airport,42.3642,69.4789
UAIT,HSA,Hazret-Sultan Turkistan International Airport,43.3152,68.5471
UAKD,DZN,Zhezkazgan Airport,47.7083,67.7333
UAKK,KGF,Sary-Arka Airport,49.6708,73.3344
UAOL,BXY,Krayniy Airport,45.622,63.2108
UAOO,KZO,Kyzylorda Airport,44.7069,65.5925
UARR,URA,Oral Ak Zhol Airport,51.1508,51.5431
UASB,EKB,Ekibastuz Airport,51.591,75.215
UASK,UKK,Oskemen Airport (Ust-Kamenogorsk Airport),50.0366,82.4942
UASP,PWQ,Pavlodar Airport,52.195,77.0739
UASS,PLX,Semey Airport,50.3513,80.2344
UATE,SCO,Aktau Airport,43.8601,51.092
UATG,GUW,Atyrau Airport,47.1219,51.8214
UATT,AKX,Aktobe Airport,50.2458,57.2067
UAUR,AYK,Arkalyk Airport,50.3186,66.9528
UAUU,KSN,Kostanay Airport,53.2069,63.5503
UBBB,GYD,Heydar Aliyev International Airport,40.4675,50.0467
UBBF,FZL,Fuzuli Airport,39.5955,47.1973
UBBG,GNJ,Ganja International Airport (formerly KVD),40.7377,46.3176
UBBL,LLK,Lankaran International Airport,38.7464,48.818
UBBN,NAJ,Nakhchivan International Airport,39.1888,45.4584
UBBQ,GBB,Qabala International Airport,40.8267,47.7125
UBBY,ZTU,Zaqatala International Airport,41.5622,46.6672
UBEE,YLV,Yevlakh Airport,40.6319,47.1419
UCFL,IKU,Issyk-Kul International Airport,42.5851,76.7064
UDSG,LWN,Gyumri Shirak Airport,40.7504,43.8593
UDYZ,EVN,Zvartnots International Airport,40.1473,44.3959
UEBS,SUK,Sakkyryr Airport,67.792,130.394
UEBT,UKG,Ust-Kuyga Airport,70.011,135.645
UECT,TLK,Talakan Airport,59.8764,111.044
UEEA,ADH,Aldan Airport,58.6028,125.409
UEEE,YKS,Yakutsk Airport,62.0933,129.771
UELL,NER,Chulman Neryungri Airport,56.9139,124.914
UEMA,MQJ,Moma Airport,66.4509,143.262
UEMH,KDY,Teply Klyuch Airport,62.789,136.855
UEMM,GYG,Magan Airport,62.1035,129.545
UEMO,OLZ,Olyokminsk Airport,60.3975,120.471
UEMT,USR,Ust-Nera Airport,64.55,143.115
UEMU,UMS,Ust-Maya Airport,60.357,134.435
UENI,VHV,Verkhnevilyuysk Airport,63.4581,120.269
UENN,NYR,Nyurba Airport,63.295,118.337
UENS,SUY,Suntar Airport,62.185,117.635
UENW,VYI,Vilyuysk Airport,63.7567,121.693
UERL,ULK,Lensk Airport,60.7206,114.826
UERO,ONK,Olenyok Airport,68.515,112.48
UERP,PYJ,Polyarny Airport,66.4004,112.03
UERR,MJZ,Mirny Airport,62.5347,114.039
UERS,SYS,Saskylakh Airport,71.9279,114.08
UESG,BGN,Belaya Gora Airport,68.5566,146.232
UESK,SEK,Srednekolymsk Airport,67.4805,153.736
