VAAH,AMD,Sardar Vallabhbhai Patel International Airport,23.0772,72.6347
VAAK,AKD,Akola Airport,20.699,77.0586
VAAU,IXU,Aurangabad Airport (Chikkalthana Airport),19.8627,75.3981
VABB,BOM,Chhatrapati Shivaji International Airport,19.0887,72.8679
VABJ,BHJ,Bhuj Airport / Bhuj Rudra Mata Air Force Base,23.2878,69.6702
VABM,IXG,Belgaum Airport,15.8593,74.6183
VABO,BDQ,Vadodara Airport (Civil Airport Harni),22.3362,73.2263
VABP,BHO,Raja Bhoj Airport,23.2875,77.3374
VABV,BHU,Bhavnagar Airport,21.7522,72.1852
VADN,NMB,Daman Airport,20.4344,72.8432
VAGN,GUX,Guna Airport,24.6547,77.3473
VAHB,HBX,Hubli Airport,15.3617,75.0849
VAHS,HSR,Rajkot International Airport,22.3813,71.0319
VAID,IDR,Devi Ahilyabai Holkar International Airport,22.7218,75.8011
VAJB,JLR,Jabalpur Airport (Dumna Airport),23.1778,80.052
VAJL,JLG,Jalgaon Airport,20.9614,75.6192
VAJM,JGA,Jamnagar Airport (Govardhanpur Airport),22.4655,70.0126
VAKE,IXY,Kandla Airport (Gandhidham Airport),23.1127,70.1003
VAKJ,HJR,Civil Aerodrome Khajuraho,24.8172,79.9186
VAKP,KLH,Kolhapur Airport,16.6647,74.2894
VAKS,IXK,Keshod Airport,21.3171,70.2704
VALT,LTU,Latur Airport,18.4115,76.4647
VAND,NDC,Shri Guru Gobind Singh Ji Airport,19.1833,77.3167
VANP,NAG,Dr. Babasaheb Ambedkar International Airport,21.0922,79.0472
VAOZ,ISK,Nashik Airport,20.1191,73.9129
VAPO,PNQ,Pune Airport,18.5821,73.9197
VAPR,PBD,Porbandar Airport,21.6487,69.6572
VARG,RTC,Ratnagiri Airport,17.0136,73.3278
VARK,RAJ,Rajkot Airport,22.3092,70.7795
VARP,RPR,Swami Vivekananda Airport,21.1804,81.7388
VASL,SSE,Solapur Airport,17.628,75.9348
VASU,STV,Surat Airport,21.1141,72.7418
VAUD,UDR,Maharana Pratap Airport,24.6177,73.8961
VBHD,HEB,Hinthada Airport,17.6333,95.4667
VCBI,CMB,Bandaranaike International Airport,7.18076,79.8841
VCCA,ACJ,Anuradhapura Airport,8.30149,80.4279
VCCB,BTC,Batticaloa Airport,7.70576,81.6788
VCCC,RML,Ratmalana Airport,6.82199,79.8862
VCCG,ADP,Ampara Airport,7.33776,81.6259
VCCH,HIM,Hingurakgoda Airport (Minneriya Airport),8.04981,80.9814
VCCJ,JAF,Jaffna Airport,9.79233,80.0701
VCCK,KCT,Koggala Airport,5.99368,80.3203
VCCN,KTY,Katukurunda Airport,6.55212,79.9775
VCCS,GIU,Sigiriya Airport,7.95667,80.7285
VCCT,TRR,China Bay Airport,8.53851,81.1819
VCCW,WRZ,Weerawila Airport,6.25449,81.2352
VCRI,HRI,Mattala Rajapaksa International Airport,6.28447,81.1241
VDBG,BBM,Battambang Airport,13.0956,103.224
VDKH,KZC,Kampong Chhnang Airport,12.2552,104.564
VDKK,KKZ,Koh Kong Airport,11.6134,102.997
VDKT,KTI,Kratie Airport,12.488,106.055
VDMK,MWV,Mondulkiri Airport,12.4636,107.187
VDPP,PNH,Phnom Penh International Airport,11.5466,104.844
VDRK,RBE,Ratanakiri Airport,13.73,106.987
VDSA,SAI,Siem Reap Angkor International Airport,13.3758,104.2197
VDSR,REP,Siem Reap International Airport (Angkor Int'l),13.4107,103.813
VDST,TNX,Steung Treng Airport,13.5319,106.015
VDSV,KOS,Sihanoukville International Airport (Kaong Kang Airport),10.5797,103.637
VEAN,IXV,Along Airport,28.1753,94.802
VEAT,IXA,Agartala Airport (Singerbhil Airport),23.887,91.2404
VEBD,IXB,Bagdogra Airport,26.6812,88.3286
VEBG,RGH,Balurghat Airport,25.2617,88.7956
VEBI,SHL,Shillong Airport (Barapani Airport),25.7036,91.9787
VEBN,VNS,Lal Bahadur Shastri Airport,25.4524,82.8593
VEBS,BBI,Biju Patnaik International Airport,20.2444,85.8178
VEBU,PAB,Bilaspur Airport,21.9884,82.111
VECC,CCU,Netaji Subhas Chandra Bose International Airport,22.6547,88.4467
VECO,COH,Cooch Behar Airport,26.3305,89.4672
VEDB,DBD,Dhanbad Airport,23.834,86.4253
VEDG,RDP,Kazi Nazrul Islam Airport,23.6225,87.243
VEDH,DBR,Darbhanga Airport,26.1947,85.9175
VEDO,DGH,Deoghar Airport,24.4433,86.7065
VEDZ,DEP,Daporijo Airport,27.9855,94.2228
VEGK,GOP,Gorakhpur Airport,26.7397,83.4497
VEGT,GAU,Lokpriya Gopinath Bordoloi International Airport,26.1061,91.5859
VEGY,GAY,Gaya Airport (Bodhgaya Airport),24.7443,84.9512
VEIM,IMF,Imphal International Airport (Tulihal Airport),24.76,93.8967
VEJH,JRG,Veer Surendra Sai Jharsuguda Airport,21.9159,84.0464
VEJP,PYB,Jeypore Airport,18.88,82.552
VEJS,IXW,Sonari Airport,22.8132,86.1688
VEJT,JRH,Jorhat Airport (Rowriah Airport),26.7315,94.1755
VEKM,IXQ,Kamalpur Airport,24.1317,91.8142
VEKR,IXH,Kailashahar Airport,24.3082,92.0072
VEKU,IXS,Silchar Airport (Kumbhirgram Air Force Base),24.9129,92.9787
VEKW,IXN,Khowai Airport,24.0619,91.6039
VELP,AJL,Lengpui Airport,23.8406,92.6197
VELR,IXI,Lilabari Airport,27.2955,94.0976
VEMH,LDA,Malda Airport,25.033,88.133
VEMN,DIB,Dibrugarh Airport (Mohanbari Airport),27.4839,95.0169
VEMR,DMU,Dimapur Airport,25.8839,93.7711
VEMZ,MZU,Muzaffarpur Airport,26.1191,85.3137
VEPG,IXT,Pasighat Airport,28.0661,95.3356
VEPT,PAT,Lok Nayak Jayaprakash Airport,25.5913,85.088
VERC,IXR,Birsa Munda Airport,23.3143,85.3217
VERK,RRK,Rourkela Airport,22.2567,84.8146
VERU,RUP,Rupsi Airport,26.1397,89.91
VETJ,TEI,Tezu Airport,27.9412,96.1344
VETZ,TEZ,Tezpur Airport,26.7091,92.7847
VEUK,UKE,Utkela Airport,20.0976,83.1829
VEVZ,VTZ,Visakhapatnam Airport,17.7212,83.2245
VEZO,ZER,Zero Airport (Ziro Airport),27.5883,93.8281
VGBR,BZL,Barisal Airport,22.801,90.3012
VGCB,CXB,Cox's Bazar Airport,21.4522,91.9639
VGCM,CLA,Comilla Airport,23.4372,91.1897
VGEG,CGP,Shah Amanat International Airport,22.2496,91.8133
VGHS,DAC,Hazrat Shahjalal International Airport,23.8433,90.3978
VGIS,IRD,Ishwardi Airport,24.1525,89.0494
VGJR,JSR,Jessore Airport,23.1838,89.1608
VGRJ,RJH,Shah Makhdum Airport,24.4372,88.6165
VGSD,SPD,Saidpur Airport,25.7592,88.9089
VGSG,TKR,Thakurgaon Airport,26.0164,88.4036
VGSH,ZHM,Shamshernagar Airport,24.417,91.883
VGSY,ZYL,Osmani International Airport,24.9632,91.8668
VHHH,HKG,Hong Kong International Airport (Chek Lap Kok Airport),22.3089,113.915
VHST,HHP,Hong Kong Shun Tak Sheung Wan Heliport,22.2888,114.1524
VIAG,AGR,Agra Airport,27.1558,77.9609
VIAL,IXD,Allahabad Airport (Bamrauli Air Force Base),25.4401,81.7339
VIAR,ATQ,Sri Guru Ram Dass Jee International Airport,31.7096,74.7973
VIAX,AIP,Adampur Airport,31.4331,75.7606
VIBK,BKB,Nal Airport,28.0706,73.2072
VIBR,KUU,Bhuntar Airport (Kullu Manali Airport),31.8767,77.1544
VIBT,BUP,Bathinda Airport (Bhisiana Air Force Station),30.2701,74.7558
VIBY,BEK,Bareilly Airport,28.4221,79.4508
VICG,IXC,Chandigarh Airport,30.6735,76.7885
VIDN,DED,Jolly Grant Airport,30.1897,78.1803
VIDP,DEL,Indira Gandhi International Airport,28.5665,77.1031
