WA44,TQQ,Maranggo Airport,-5.76457,123.917
WAAA,UPG,Sultan Hasanuddin International Airport,-5.06163,119.554
WABB,BIK,Frans Kaisiepo Airport,-1.19002,136.108
WABD,ONI,Moanamani Airport,-3.9834,136.083
WABE,IUL,Ilu Airport,-3.7051,138.2
WABG,WET,Waghete Airport,-4.04423,136.278
WABI,NBX,Nabire Airport,-3.36818,135.496
WABK,KBF,Karubaga Airport,-3.684,138.479
WABL,ILA,Illaga Airport,-3.97648,137.622
WABN,KOX,Kokonao Airport,-4.71075,136.435
WABO,ZRI,Serui Airport,-1.87558,136.241
WABP,TIM,Mozes Kilangin Airport,-4.52828,136.887
WABR,OBD,Obano Airport,-3.9106,136.231
WABT,EWI,Enarotali Airport,-3.9259,136.377
WABV,UGU,Bilogai Airport,-3.73956,137.032
WADA,AMI,Selaparang Airport,-8.56056,116.094
WADB,BMU,Sultan Muhammad Salahudin Airport (Bima Airport),-8.53965,118.687
WADD,DPS,Ngurah Rai International Airport,-8.74817,115.167
WADL,LOP,Lombok International Airport,-8.75732,116.277
WADS,SWQ,Sultan Muhammad Kaharuddin III Airport (Brangbiji Airport),-8.48904,117.412
WADT,TMC,Tambolaka Airport (Waikabubak Airport),-9.40972,119.244
WADU,LYK,Lunyuk Airport,-8.9889,117.216
WADW,WGP,Mau Hau Airport (Umbu Mehang Kunda Airport),-9.66922,120.302
WADY,BWX,Blimbingsari Airport,-8.31015,114.34
WAEE,TTE,Sultan Babullah Airport,0.831414,127.381
WAFF,PLW,Mutiara Airport,-0.918542,119.91
WAFJ,MJU,Tampa Padang Airport,-2.58333,119.033
WAGD,TJS,Tanjung Harapan Airport,2.83583,117.374
WAGG,PKY,Tjilik Riwut Airport,-2.22513,113.943
WAHI,YIA,Yogyakarta International Airport,-7.90534,110.057
WAHL,CXP,Tunggul Wulung Airport,-7.64506,109.034
WAHP,PWL,Wirasaba Airport,-7.46167,109.417
WAJA,ARJ,Arso Airport,-2.93333,140.783
WAJB,BUI,Bokondini Airport,-3.6822,138.676
WAJC,DRH,Dabra Airport,-3.2705,138.613
WAJE,RUF,Yuruf Airport,-3.6333,140.958
WAJG,BXM,Batom Airport,-4.16667,140.85
WAJI,ZRM,Sarmi Orai Airport,-1.86955,138.75
WAJJ,DJJ,Sentani Airport,-2.57695,140.516
WAJL,LHI,Lereh Airport,-3.0795,139.952
WAJM,LII,Mulia Airport,-3.7018,137.957
WAJN,ELR,Elelim Airport,-3.7826,139.386
WAJO,OKL,Gunung Bintang Airport,-4.9071,140.628
WAJR,WAR,Waris Airport,-3.235,140.994
WAJS,SEH,Senggeh Airport,-3.45,140.779
WAJU,UBR,Ubrub Airport,-3.67565,140.884
WAKD,MDP,Mindiptana Airport,-5.75,140.367
WAKE,BXD,Bade Airport,-7.1759,139.583
WAKK,MKQ,Mopah Airport,-8.52029,140.418
WAKM,KCD,Kamur Airport,-6.1851,138.637
WAKO,OKQ,Okaba Airport,-8.0946,139.723
WAKP,KEI,Kepi Airport,-6.5418,139.332
WAKQ,ZEG,Senggo Airport,-5.6908,139.35
WAKT,TMH,Tanah Merah Airport,-6.09922,140.298
WALE,GHS,West Kutai Airport,-0.2064,115.76045
WALJ,DTD,Datadawai Airport,0.8106,114.531
WALK,BEJ,Kalimarau Airport,2.1555,117.432
WALL,BPN,Sultan Aji Muhammad Sulaiman Airport,-1.26827,116.894
WALM,LNU,Malinau Robbert Atty Bessing Airport,3.5764,116.6182
WALR,TRK,Juwata International Airport,3.32667,117.569
WALS,AAP,APT Pranoto International Airport,-0.374448,117.249
WALT,TSX,Tanjung Santan Airport,-0.092973,117.453
WALV,BYQ,Bunyu Airport,3.45572,117.867
WAMA,GLX,Gamarmalamo Airport,1.83833,127.786
WAMG,GTO,Jalaluddin Airport,0.637119,122.85
WAMH,NAH,Naha Airport,3.68321,125.528
WAMI,TLI,Sultan Bantilan Airport (Lalos Airport),1.12343,120.794
WAMJ,GEB,Gebe Airport,-0.078889,129.458
WAMK,KAZ,Kao Airport,1.18528,127.896
WAMM,MDC,Sam Ratulangi International Airport,1.54926,124.926
WAMN,MNA,Melangguane Airport,4.00694,126.673
WAMP,PSJ,Kasiguncu Airport,-1.41675,120.658
WAMR,OTI,Pitu Airport,2.04599,128.325
WAMW,LUW,Syukuran Aminuddin Amir Airport,-1.03892,122.772
WAMY,UOL,Pogogul Airport,1.1027,121.414
WAOC,BTW,Batu Licin Airport,-3.41241,115.995
WAOI,PKN,Iskandar Airport,-2.7052,111.673
WAON,TJG,Warukin Airport,-2.21656,115.436
WAOO,BDJ,Syamsudin Noor Airport,-3.44236,114.763
WAOS,SMQ,H. Asan Airport,-2.49919,112.975
WAOW,TBM,Tumbang Samba Airport,-1.4694,113.083
WAPA,AHI,Amahai Airport,-3.348,128.926
WAPC,NDA,Bandanaira Airport,-4.5214,129.905
WAPD,DOB,Dobo Airport,-5.77222,134.212
WAPE,MAL,Mangole Airport,-1.87579,125.83
WAPF,LUV,Karel Sadsuitubun Airport,-5.76028,132.759
WAPG,NRE,Namrole Airport,-3.8548,126.701
WAPH,LAH,Oesman Sadik Airport,-0.635259,127.502
WAPI,SXK,Saumlaki Airport (Olilit Airport),-7.98861,131.306
WAPK,BJK,Benjina Airport (Nangasuri Airport),-6.0662,134.274
WAPN,SQN,Sanana Airport,-2.08051,125.967
WAPP,AMQ,Pattimura Airport,-3.71026,128.089
WAPR,NAM,Namlea Airport,-3.23557,127.1
WAPT,TAX,Taliabu Airport,-1.64263,124.559
WAPV,WBA,Wahai Airport,-2.8114,129.484
WARA,MLG,Abdul Rachman Saleh Airport,-7.92656,112.715
WARC,CPF,Ngloram Airport,-7.19484,111.548
WARE,JBB,Notohadinegoro Airport,-8.23806,113.694
