YABA,ALH,Albany Airport,-34.9433,117.809
YABI,ABG,Abingdon Airport,-17.6167,143.167
YAGD,AUD,Augustus Downs Airport,-18.515,139.878
YALA,MRP,Marla Airport,-27.3333,133.627
YALX,AXL,Alexandria Homestead Airport,-19.0602,136.71
YAMC,AXC,Aramac Airport,-22.9667,145.242
YAMK,ADO,Andamooka Airport,-30.4383,137.137
YAMT,AMT,Amata Airport,-26.1083,131.207
YANG,WLP,West Angelas Airport,-23.1356,118.707
YAPH,ABH,Alpha Airport,-23.6461,146.584
YARA,ARY,Ararat Airport,-37.3094,142.989
YARG,GYL,Argyle Airport,-16.6369,128.451
YARM,ARM,Armidale Airport,-30.5281,151.617
YARY,AAB,Arrabury Airport,-26.693,141.048
YAUR,AUU,Aurukun Airport,-13.3541,141.721
YAUV,AVG,Auvergne Airport,-15.7,130
YAYE,AYQ,Ayers Rock Airport,-25.1861,130.976
YAYR,AYR,Ayr Airport,-19.5844,147.329
YBAR,BCI,Barcaldine Airport,-23.5653,145.307
YBAS,ASP,Alice Springs Airport,-23.8067,133.902
YBAU,BDD,Badu Island Airport,-10.15,142.173
YBAW,BKP,Barkly Downs Airport,-20.4958,138.475
YBBN,BNE,Brisbane Airport,-27.3842,153.117
YBCG,OOL,Gold Coast Airport (Coolangatta Airport),-28.1644,153.505
YBCK,BKQ,Blackall Airport,-24.4278,145.429
YBCS,CNS,Cairns Airport,-16.8858,145.755
YBCV,CTL,Charleville Airport,-26.4133,146.262
YBDF,BDW,Bedford Downs Airport,-17.2867,127.463
YBDG,BXG,Bendigo Airport,-36.7394,144.33
YBDV,BVI,Birdsville Airport,-25.8975,139.348
YBEB,BXF,Bellburn Airstrip,-17.545,128.305
YBEO,BTX,Betoota Airport,-25.6417,140.783
YBGD,OCM,Boolgeeda Airport,-22.54,117.275
YBGO,BQW,Balgo Hill Airport,-20.1483,127.973
YBHI,BHQ,Broken Hill Airport,-32.0014,141.472
YBHM,HTI,Great Barrier Reef Airport,-20.3581,148.952
YBIE,BEU,Bedourie Airport,-24.3461,139.46
YBKE,BRK,Bourke Airport,-30.0392,145.952
YBKT,BUC,Burketown Airport,-17.7486,139.534
YBLA,BLN,Benalla Airport,-36.5519,146.007
YBLC,LCN,Balcanoona Airport,-30.535,139.337
YBLL,BLS,Bollon Airport,-28.0583,147.483
YBLN,BQB,Busselton Regional Airport,-33.6884,115.402
YBMA,ISA,Mount Isa Airport,-20.6639,139.489
YBMK,MKY,Mackay Airport,-21.1717,149.18
YBNA,BNK,Ballina Byron Gateway Airport,-28.8339,153.562
YBNS,BSJ,Bairnsdale Airport,-37.8875,147.568
YBOI,GIC,Boigu Island Airport,-9.23278,142.218
YBOK,OKY,Oakey Army Aviation Centre,-27.4114,151.735
YBOU,BQL,Boulia Airport,-22.9133,139.9
YBPI,BMP,Brampton Island Airport,-20.8033,149.27
YBPN,PPP,Whitsunday Coast Airport,-20.495,148.552
YBRK,ROK,Rockhampton Airport,-23.3819,150.475
YBRL,BOX,Borroloola Airport,-16.0753,136.302
YBRM,BME,Broome International Airport,-17.9447,122.232
YBRN,BZD,Balranald Airport,-34.6236,143.578
YBRW,BWQ,Brewarrina Airport,-29.9739,146.817
YBRY,BYP,Barimunya Airport,-22.6739,119.166
YBSU,MCY,Sunshine Coast Airport,-26.6033,153.091
YBTH,BHS,Bathurst Airport,-33.4094,149.652
YBTI,BRT,Bathurst Island Airport,-11.7692,130.62
YBTL,TSV,Townsville Airport,-19.2525,146.765
YBTR,BLT,Blackwater Airport,-23.6031,148.807
YBUD,BDB,Bundaberg Airport,-24.9039,152.319
YBUN,BUY,Bunbury Airport,-33.3783,115.677
YBWN,ZBO,Bowen Airport,-20.0183,148.215
YBWP,WEI,Weipa Airport,-12.6786,141.925
YBWW,WTB,Toowoomba Wellcamp Airport,-27.5583,151.793
YBWX,BWB,Barrow Island Airport,-20.8644,115.406
YBYS,BVZ,Beverley Springs Airport,-16.7333,125.433
YCAG,CGV,Caiguna Airport,-32.265,125.493
YCAH,CLH,Coolah Airport,-31.7733,149.61
YCAR,CVQ,Carnarvon Airport,-24.8802,113.672
YCAS,CSI,Casino Airport,-28.8828,153.067
YCBA,CAZ,Cobar Airport,-31.5383,145.794
YCBB,COJ,Coonabarabran Airport,-31.3325,149.267
YCBP,CPD,Coober Pedy Airport,-29.04,134.721
YCBR,CRB,Collarenebri Airport,-29.5217,148.582
YCCA,CCL,Chinchilla Airport,-26.775,150.617
YCCT,CNC,Coconut Island Airport,-10.05,143.07
YCCY,CNJ,Cloncurry Airport,-20.6686,140.504
YCDO,CBX,Condobolin Airport,-33.0644,147.209
YCDR,CUD,Caloundra Airport,-26.8,153.1
